MaSV,10%,20%,20%_1,Thi
r571,10.5,9.5,9.75,7.5
r572,6.75,8.5,9.0,5.5
r573,8.25,7.25,6.0,9.75
r574,6.0,8.5,8.75,8.25
r575,7.75,5.75,9.25,6.5
r576,10.5,7.0,5.5,6.25
r577,10.0,8.5,6.75,9.75
r578,6.75,9.25,10.75,10.5
r579,8.0,5.0,6.5,8.75
r580,5.0,10.25,9.0,5.25
r581,6.75,9.0,5.5,5.5
r582,6.5,7.0,5.75,8.75
r583,5.25,8.25,5.5,8.75
r584,9.0,9.5,7.75,9.0
r585,10.0,10.5,10.75,10.5
r586,5.0,6.75,10.75,6.5
r587,7.0,10.75,8.0,5.5
r588,7.0,5.75,9.0,9.5
r589,9.0,10.25,8.5,5.75
r590,9.5,10.0,5.25,8.0
r591,8.75,10.5,8.0,6.0
r592,10.5,9.0,6.0,8.25
r593,7.25,9.25,9.5,7.25
r594,6.0,9.25,10.0,6.75
r595,10.0,6.75,10.0,6.75
r596,10.75,5.5,5.5,9.0
r597,6.0,9.0,5.0,8.25
r598,9.0,6.25,8.5,7.75
r599,9.25,9.25,5.25,10.0
r600,5.75,7.0,8.5,9.0
r601,7.5,10.75,7.0,5.0
r602,9.0,10.5,6.25,8.75
r603,8.75,7.5,5.75,6.0
r604,8.25,10.75,10.75,10.25
r605,5.25,10.5,9.5,5.25
r606,5.5,7.75,7.25,7.5
r607,9.0,5.5,5.5,10.0
r608,9.25,6.75,9.0,5.25
r609,5.5,10.5,9.75,7.5
r610,7.25,5.25,5.25,10.75
r611,8.75,7.75,5.25,10.75
r612,7.0,5.0,10.0,7.0
r613,7.0,7.75,6.5,10.25
r614,9.0,8.0,9.75,7.25
r615,10.75,8.0,5.25,9.0
r616,7.75,7.75,6.0,7.25
r617,8.0,8.0,10.25,10.0
r618,5.25,5.75,7.5,10.5
r619,7.75,10.0,7.75,8.0
r620,5.0,8.25,8.0,5.25
r621,6.25,10.5,7.75,10.75
r622,9.25,9.0,5.75,9.75
r623,10.0,7.25,8.0,5.0
r624,5.0,5.0,5.5,5.75
r625,8.5,5.5,8.5,6.75
r626,5.5,5.5,8.0,5.75
r627,10.0,8.25,10.75,6.5
r628,9.75,5.75,7.5,7.0
r629,5.75,10.75,7.0,7.25
r630,7.0,9.75,6.25,6.0
r631,5.0,5.75,8.0,7.5
r632,6.0,9.5,5.0,8.0
r633,6.5,9.0,5.75,9.75
r634,5.25,8.75,7.0,6.75
r635,8.75,8.75,7.5,8.0
r636,8.5,5.75,7.5,8.0
r637,9.75,7.75,8.5,5.0
r638,6.0,5.75,10.0,5.0
r639,6.25,9.25,9.0,7.0
r640,7.5,8.25,6.0,8.25
r641,10.5,5.25,10.25,8.0
r642,9.0,5.75,7.75,8.25
r643,8.5,8.25,9.0,7.5
r644,8.5,7.25,5.0,8.75
r645,9.75,10.25,7.5,8.5
r646,5.75,7.75,8.0,10.5
r647,10.25,9.5,6.0,5.75
r648,8.0,8.75,8.5,8.0
r649,7.25,9.25,6.25,6.5
r650,9.75,6.75,7.5,8.75
r651,10.0,6.0,6.5,8.75
r652,7.0,5.75,10.75,7.25
r653,10.75,6.75,6.0,6.5
r654,9.75,5.5,7.5,9.0
r655,7.75,6.25,10.75,8.0
r656,7.0,8.25,7.0,9.75
r657,5.25,8.5,10.0,7.0
r658,5.75,6.0,9.0,7.25
r659,5.0,5.5,9.0,6.25
r660,6.75,10.75,7.25,10.25
r661,9.5,9.0,9.0,5.25
r662,8.5,10.5,7.75,9.5
r663,8.0,9.0,6.0,7.25
r664,8.5,6.5,9.75,9.25
r665,10.25,9.75,9.0,10.5
r666,5.5,7.5,9.25,9.0
r667,9.75,5.75,10.5,6.5
r668,6.75,5.25,10.5,9.0
r669,10.25,5.0,7.5,5.5
r670,6.5,10.5,9.75,5.5
r671,8.25,10.25,9.75,9.0
r672,5.75,8.5,10.5,9.25
r673,10.0,8.25,10.75,9.5
r674,8.75,10.25,7.75,8.25
r675,10.75,5.0,7.0,10.0
r676,8.75,5.5,6.5,8.5
r677,10.0,10.0,10.75,10.0
r678,8.25,6.0,10.25,5.0
r679,6.5,8.5,8.25,5.25
r680,5.75,10.5,9.25,10.0
r681,9.5,8.75,6.5,10.0
r682,6.5,8.0,5.5,10.5
r683,7.0,6.0,5.75,6.25
r684,5.75,10.25,9.5,5.5
r685,7.5,5.75,10.75,7.0
r686,7.75,9.0,10.0,8.5
r687,8.75,10.25,10.25,7.5
r688,8.5,8.75,6.0,8.75
r689,9.5,8.25,8.75,10.0
r690,8.25,8.5,9.0,9.75
r691,8.0,5.0,7.25,9.25
r692,7.25,6.75,6.25,7.75
r693,10.75,7.0,6.5,8.0
r694,8.25,5.0,5.0,7.75
r695,6.5,6.0,7.25,7.25
r696,8.75,5.75,5.0,7.5
r697,5.5,6.75,7.25,9.0
r698,9.75,7.75,6.25,7.5
r699,8.75,6.75,8.5,6.25
r700,7.25,7.0,7.25,7.25
r701,6.75,8.0,8.5,5.25
r702,6.75,5.75,10.0,7.0
r703,6.25,5.25,5.5,6.5
r704,8.0,10.75,8.25,10.25
r705,9.5,5.0,10.75,5.75
r706,5.5,9.25,7.75,6.75
r707,5.25,7.25,5.0,6.25
r708,7.75,5.5,7.25,9.25
r709,6.25,9.25,5.25,5.0
r710,8.5,6.0,6.25,9.0
r711,10.75,9.25,10.5,7.5
r712,10.25,8.75,7.0,9.5
r713,5.0,9.25,7.25,6.5
r714,9.5,6.5,6.25,7.25
r715,5.25,6.0,7.75,8.75
r716,10.75,5.25,5.25,10.75
r717,5.0,10.0,5.0,7.5
r718,6.5,10.5,8.25,9.5
r719,7.75,5.0,5.75,10.0
r720,6.0,5.25,6.5,10.5
r721,10.75,10.5,7.25,5.0
r722,5.0,7.0,7.5,8.0
r723,5.0,6.0,8.5,10.75
r724,10.5,7.75,9.25,6.5
r725,7.0,10.5,10.75,7.75
r726,7.25,6.5,6.5,6.25
r727,10.5,10.5,6.5,9.75
r728,8.75,5.75,7.25,7.75
r729,7.25,6.5,6.0,10.25
r730,9.5,5.25,6.5,10.5
r731,7.25,9.25,9.0,9.0
r732,9.75,6.5,5.0,8.75
r733,7.0,5.5,10.5,7.0
r734,5.0,6.75,7.25,9.5
r735,6.0,7.75,8.0,8.25
r736,9.5,5.25,7.75,5.5
r737,8.0,6.25,9.75,5.25
r738,10.25,5.25,6.5,7.25
r739,7.5,10.75,8.5,6.5
r740,9.5,6.25,5.0,10.0
r741,9.25,9.5,8.75,8.75
r742,5.75,6.75,5.5,8.25
r743,10.5,5.5,9.5,7.0
r744,7.75,8.25,8.25,9.5
r745,8.75,5.5,7.75,10.75
r746,10.25,8.0,9.25,8.5
r747,6.25,8.0,10.25,8.75
r748,5.5,8.0,6.5,9.0
r749,9.5,8.25,7.25,6.0
r750,6.0,10.0,8.5,9.0
r751,9.75,5.75,7.0,5.75
r752,5.75,6.75,5.0,8.0
r753,10.5,9.0,10.5,7.5
r754,10.0,8.75,8.75,8.25
r755,10.0,8.5,8.5,5.25
r756,7.5,9.5,9.25,9.75
r757,8.75,8.5,6.0,7.0
r758,10.0,7.25,6.75,8.5
r759,9.0,7.0,5.5,10.0
r760,9.0,9.0,10.75,10.75
r761,8.75,7.25,9.0,10.5
r762,8.0,9.0,6.0,5.25
r763,6.75,10.0,6.75,6.0
r764,5.25,7.5,5.25,5.25
r765,10.5,9.5,8.0,9.0
r766,5.75,9.0,9.25,10.5
r767,10.25,6.0,10.0,9.25
r768,7.75,8.0,8.0,8.75
r769,7.5,8.25,7.0,9.5
r770,7.0,7.0,8.5,5.25
r771,6.25,9.25,7.75,8.75
r772,10.75,8.25,6.25,6.75
r773,9.25,7.25,10.5,9.5
r774,7.0,9.25,5.25,6.25
r775,10.5,10.25,7.5,9.25
r776,8.5,5.5,9.5,6.75
r777,10.5,9.75,7.5,5.75
r778,5.75,7.5,5.0,8.75
r779,6.25,8.75,5.75,8.0
r780,7.75,5.75,5.5,9.75
r781,7.0,10.25,9.25,7.75
r782,7.25,5.25,7.25,6.75
r783,5.75,9.75,7.5,9.75
r784,8.5,9.25,10.0,9.75
r785,7.25,7.75,5.0,9.75
r786,5.0,8.75,10.25,6.75
r787,10.0,5.5,5.75,6.0
r788,6.5,9.5,7.0,5.5
r789,10.25,7.25,7.25,9.75
r790,6.75,7.75,10.5,6.75
r791,10.0,8.75,6.25,9.25
r792,6.75,10.5,6.75,6.25
r793,5.25,6.75,7.0,10.5
r794,6.5,5.25,5.0,9.75
r795,5.5,5.5,9.5,6.25
r796,8.25,10.75,6.5,7.0
r797,5.5,7.0,10.25,6.0
r798,10.5,7.5,7.25,9.5
r799,5.0,7.75,8.5,9.25
r800,6.0,8.0,5.5,5.75
r801,5.5,8.25,9.75,6.5
r802,8.75,10.0,8.75,5.0
r803,9.75,7.0,10.0,9.75
r804,6.25,8.25,6.75,9.75
r805,10.5,5.25,5.0,6.0
r806,5.0,7.25,9.25,5.75
r807,7.75,5.0,5.0,8.0
r808,8.0,5.5,8.5,6.25
r809,7.0,7.75,5.0,10.75
r810,9.25,10.5,10.0,9.5
r811,10.25,8.75,8.75,7.5
r812,9.5,10.75,10.75,6.75
r813,8.5,8.5,7.0,6.75
r814,8.25,8.25,6.0,9.25
r815,6.0,9.0,9.75,7.75
r816,6.0,9.75,8.0,10.75
r817,6.25,6.25,5.0,7.5
r818,9.5,8.25,5.25,6.75
r819,9.0,8.75,5.75,10.0
r820,5.25,8.25,5.0,5.5
r821,6.25,8.0,6.0,6.5
r822,9.75,9.5,10.75,8.0
r823,8.5,5.0,5.25,5.5
r824,10.25,6.0,7.0,5.5
r825,9.0,5.0,5.0,6.75
r826,10.0,8.75,8.25,7.25
r827,8.5,7.5,10.0,5.75
r828,10.0,5.75,9.0,5.25
r829,8.75,6.5,8.75,10.5
r830,8.5,6.5,10.5,8.5
r831,9.25,6.75,8.25,7.5
r832,10.5,7.0,7.0,5.5
r833,10.25,7.25,10.5,10.0
r834,7.0,5.0,6.0,8.0
r835,9.5,7.25,8.5,5.0
r836,5.5,6.75,8.75,5.75
r837,6.0,5.75,8.5,8.5
r838,9.0,5.25,8.5,9.25
r839,9.75,10.25,5.75,6.25
r840,7.75,8.25,5.25,10.5
